order_id,order_amount,delivery_latitude,delivery_longitude,order_date
ord-12000,28.37,51.546,-0.037,14/11/2016
ord-42107,44.09,51.573,-0.408,18/11/2016
ord-39634,22.34,51.507,-0.586,03/11/2016
ord-01597,18.46,53.387,-2.599,04/11/2016
ord-46399,23.24,52.387,-1.247,03/11/2016
ord-69946,29.86,51.604,0.0889,26/11/2016
ord-55484,28.69,51.415,-0.379,17/11/2016
ord-16550,18.56,51.566,-0.129,29/11/2016
ord-24727,40.54,53.637,-1.376,23/11/2016
ord-39990,17.28,51.518,-0.435,09/11/2016
ord-18425,45.58,51.462,-0.111,02/11/2016
ord-79307,30.97,51.555,-0.001,17/11/2016
ord-97838,18.43,52.766,-1.213,28/11/2016
ord-62018,50.17,51.525,-0.032,26/11/2016
ord-90389,28.15,54.889,-2.961,01/11/2016
ord-23459,25.79,51.804,-0.816,17/11/2016
ord-67329,33.66,51.539,-0.065,03/11/2016
ord-44018,18.01,51.479,0.0785,18/11/2016
ord-51056,74.04,51.546,0.0747,03/11/2016
ord-69534,19.64,54.902,-1.395,20/11/2016
ord-90498,37.27,51.41,-0.158,03/11/2016
ord-90498,35.83,51.41,-0.158,03/11/2016
ord-48588,29.97,53.63,-2.167,22/11/2016
ord-10265,57.12,51.478,-0.041,19/11/2016
ord-65277,137.76,51.655,-0.397,17/11/2016
ord-23442,23.31,51.814,-0.824,17/11/2016
ord-60497,28.97,51.533,-0.2,05/11/2016
ord-07823,19.13,52.387,-1.247,03/11/2016
ord-19488,25.64,51.391,-0.095,22/11/2016
ord-40443,34.79,51.571,-0.008,03/11/2016
ord-74284,35.81,51.376,-0.398,05/11/2016
ord-44176,89.22,51.522,-0.342,24/11/2016
ord-68024,36.18,51.322,-0.152,17/11/2016
ord-22242,46.28,52.395,-0.719,06/11/2016
ord-87025,83.04,53.387,-2.599,17/11/2016
ord-20543,27.78,53.532,-2.489,26/11/2016
ord-04020,31.09,52.958,-1.301,17/11/2016
ord-18314,49.25,51.798,-0.816,17/11/2016
ord-89263,28.19,51.553,-0.08,12/11/2016
ord-89263,49.81,51.553,-0.08,17/11/2016
ord-16765,42.33,51.5,-0.01,01/11/2016
ord-13649,44.16,51.798,-0.816,17/11/2016
ord-32987,40.61,51.944,0.6379,18/11/2016
ord-74361,24.13,51.814,-0.824,17/11/2016
ord-95846,36.34,52.285,-1.399,20/11/2016
ord-12466,32.65,52.993,-1.311,17/11/2016
ord-27060,27.48,52.452,-1.887,29/11/2016
ord-30761,25.88,51.804,-0.816,17/11/2016
ord-23110,33.61,51.552,-0.04,05/11/2016
ord-42108,59.14,53.398,-3.05,01/11/2016
ord-28771,78.09,51.535,-0.24,02/11/2016
ord-25902,15.55,53.752,-1.655,29/11/2016
ord-74277,37.6,51.579,-0.21,04/11/2016
ord-66302,28.34,51.554,0.0593,03/11/2016
ord-80802,25.87,52.79,1.2313,19/11/2016
ord-69116,43.73,51.573,-0.408,18/11/2016
ord-87082,146.35,51.511,-0.315,22/11/2016
ord-49074,24,51.798,-0.816,17/11/2016
ord-16974,42.79,51.511,-0.316,24/11/2016
ord-25550,21.5,51.475,0.0826,14/11/2016
ord-25550,8.89,51.475,0.0826,18/11/2016
ord-84626,48.22,51.374,0.5503,19/11/2016
ord-97890,32.88,51.503,0.0995,18/11/2016
ord-48015,19.24,53.691,-2.459,02/11/2016
ord-02141,44.11,51.41,-0.158,03/11/2016
ord-02141,43.43,51.41,-0.158,03/11/2016
ord-33754,21.41,51.598,0.2129,27/11/2016
ord-47947,60.57,53.778,-1.781,17/11/2016
ord-36290,28.44,52.629,-1.12,14/11/2016
ord-29030,50.16,51.516,-0.468,18/11/2016
ord-55375,38.95,51.585,-2.95,29/11/2016
ord-75886,18.73,52.46,-1.977,18/11/2016
ord-30208,30.56,52.452,-1.887,29/11/2016
ord-89064,80.64,51.468,-0.354,22/11/2016
ord-78214,70.97,51.28,1.1059,21/11/2016
ord-78214,27.41,51.28,1.1059,02/11/2016
ord-31396,37.23,51.415,-0.123,16/11/2016
ord-81984,28.84,51.804,-0.816,17/11/2016
ord-40210,27.8,51.563,0.0051,01/11/2016
ord-28527,31.23,52.79,1.2313,19/11/2016
ord-30914,81.15,50.795,-1.063,04/11/2016
ord-35128,22.94,51.814,-0.824,17/11/2016
ord-80421,37.11,53.691,-2.459,02/11/2016
ord-35223,21.95,53.611,-2.123,19/11/2016
ord-96548,41.59,53.409,-3.022,22/11/2016
ord-89084,34.31,52.641,-1.12,07/11/2016
ord-72059,26.96,52.64,-1.124,30/11/2016
ord-41840,25.59,53.814,-1.555,21/11/2016
ord-52842,43.22,51.403,-0.149,17/11/2016
ord-76206,49.88,51.605,-0.058,05/11/2016
ord-18372,42.5,51.56,0.014,18/11/2016
ord-45900,33.95,51.515,-0.613,17/11/2016
ord-94887,39.74,51.584,-0.248,03/11/2016
ord-13453,39.71,55.82,-4.346,21/11/2016
ord-02241,50.52,51.499,-0.106,18/11/2016
ord-01120,33.08,51.573,-0.408,18/11/2016
ord-95707,31.65,51.447,0.052,08/11/2016
ord-91694,31.9,52.868,-1.63,16/11/2016
ord-88085,23.95,51.525,-0.167,19/11/2016
ord-37756,43.02,52.475,-1.792,26/11/2016
ord-94936,50.09,51.535,-0.388,19/11/2016
ord-03040,18.32,50.843,-0.194,06/11/2016
ord-91066,16.7,53.517,-1.124,08/11/2016
ord-35861,48.91,52.642,1.2397,01/11/2016
ord-74862,10.86,53.768,-0.355,25/11/2016
ord-00105,24.26,51.798,-0.816,17/11/2016
ord-14474,20.13,53.435,-2.182,29/11/2016
ord-44984,43.34,50.848,-1.068,02/11/2016
ord-07439,17.88,51.553,0.0587,02/11/2016
ord-90289,49.77,51.544,-0.034,26/11/2016
ord-86190,18.84,51.804,-0.816,17/11/2016
ord-47874,13.82,53.702,-2.466,05/11/2016
ord-03089,31.85,51.614,0.0921,13/11/2016
ord-54856,36.65,53.801,-1.507,17/11/2016
ord-45165,34.4,51.814,-0.824,17/11/2016
ord-96741,22.43,51.5,-0.066,02/11/2016
ord-40275,14.12,51.55,-0.244,25/11/2016
ord-13546,112.99,51.529,-0.392,24/11/2016
ord-58463,30.79,53.691,-2.459,02/11/2016
ord-40393,39.21,52.635,-1.102,14/11/2016
ord-69810,54.85,52.492,-1.818,22/11/2016
ord-22177,16.84,51.814,-0.824,17/11/2016
ord-02511,40.52,53.691,-2.459,03/11/2016
ord-27230,34.85,51.525,0.0413,17/11/2016
ord-78238,167.79,52.562,-2.045,04/11/2016
ord-88468,45.66,52.631,1.2975,11/11/2016
ord-33252,21.3,52.453,-1.815,22/11/2016
ord-28727,23.84,53.691,-2.459,02/11/2016
ord-09732,26.59,51.573,-0.408,18/11/2016
ord-43038,15.62,51.403,-0.149,17/11/2016
ord-99504,19.69,51.798,-0.816,17/11/2016
ord-32441,18.22,51.507,-0.327,13/11/2016
ord-82943,15.24,52.65,-1.054,29/11/2016
ord-34923,71.59,51.592,-0.006,03/11/2016
ord-91384,25.21,54.541,-1.215,02/11/2016
ord-60886,26.95,53.441,-2.93,01/11/2016
ord-09433,18.66,51.573,-0.408,18/11/2016
ord-88053,51.29,51.512,-0.389,29/11/2016
ord-75586,28.96,51.542,-0.247,04/11/2016
ord-30581,53.31,51.521,0.1992,22/11/2016
ord-15093,19.15,57.68,-2.029,04/11/2016
ord-93234,19.46,52.515,-1.867,05/11/2016
ord-73737,19.65,51.523,-0.483,11/11/2016
ord-69324,24.6,50.797,-1.041,18/11/2016
ord-71937,19.33,51.565,-0.073,17/11/2016
ord-26525,15.6,51.543,-0.051,30/11/2016
ord-58542,35.02,52.974,-1.161,22/11/2016
ord-31248,23.49,53.8,-1.523,29/11/2016
ord-11798,43.06,51.55,0.0033,30/11/2016
ord-80353,34.9,51.507,-0.327,10/11/2016
ord-94773,40.23,51.553,-0.055,26/11/2016
ord-93145,25.53,51.804,-0.816,17/11/2016
ord-22801,24.76,52.926,-1.454,18/11/2016
ord-53875,33,51.542,0.0525,11/11/2016
ord-48012,45.81,51.549,-0.11,18/11/2016
ord-12030,22.21,51.51,0.0205,27/11/2016
ord-71897,19.2,52.452,-1.887,02/11/2016
ord-42410,27.23,51.804,-0.816,17/11/2016
ord-67186,19.46,53.682,-1.493,25/11/2016
ord-69284,34.28,51.55,0.0357,25/11/2016
ord-22836,26.95,51.503,-0.253,05/11/2016
ord-04639,38.58,51.764,-0.247,17/11/2016
ord-75306,13.83,51.645,-0.047,16/11/2016
ord-78544,28.08,52.51,-2.052,17/11/2016
ord-74285,47.85,52.537,-0.277,12/11/2016
ord-14374,15.99,53.847,-1.609,20/11/2016
ord-03875,27.7,51.425,-0.022,19/11/2016
ord-63899,34.24,51.555,-0.001,17/11/2016
ord-08674,39.92,51.526,-0.393,03/11/2016
ord-08674,42.67,51.526,-0.393,03/11/2016
ord-53192,20.39,52.766,-1.213,28/11/2016
ord-88181,16.35,51.564,0.0687,19/11/2016
ord-65199,2.78,51.512,-0.383,05/11/2016
ord-49196,42.34,51.524,-0.312,17/11/2016
ord-91284,43.55,51.508,-0.385,11/11/2016
ord-99975,44.38,51.466,-2.506,10/11/2016
ord-84647,35.75,53.8,-1.523,29/11/2016
ord-78948,25.42,51.544,-0.207,16/11/2016
ord-23751,31.24,51.804,-0.816,17/11/2016
ord-31888,12.01,52.96,-1.175,15/11/2016
ord-43945,34.3,51.391,-0.403,05/11/2016
ord-07308,36.6,51.473,-0.075,24/11/2016
ord-58554,46.79,51.526,-0.461,10/11/2016
ord-43513,83.15,51.492,-0.1,17/11/2016
ord-62126,46.53,50.795,-1.063,17/11/2016
ord-29020,15.09,51.28,1.109,11/11/2016
ord-86515,36.31,53.053,-0.79,12/11/2016
ord-33075,54.36,51.404,-0.097,03/11/2016
ord-33075,53.27,51.404,-0.097,03/11/2016
ord-33365,29.16,51.537,-0.096,01/11/2016
ord-43618,20.21,52.403,-2.03,25/11/2016
ord-07746,22.19,51.804,-0.816,17/11/2016
ord-62777,33.98,52.234,-0.894,10/11/2016
ord-79413,32.58,51.489,-0.035,05/11/2016
ord-71961,26.07,52.689,1.2148,19/11/2016
ord-71961,45.11,52.689,1.2148,13/11/2016
ord-44384,13.8,51.798,-0.816,17/11/2016
ord-50311,26.42,53.079,-3.053,03/11/2016
ord-35282,37.51,51.571,-0.375,04/11/2016
ord-50311,28.03,53.079,-3.053,03/11/2016
ord-55475,35.65,51.495,-0.114,16/11/2016
ord-59151,78.4,51.553,-0.318,10/11/2016
ord-59738,18.89,52.539,-2.125,05/11/2016
ord-64646,8.28,51.876,-0.41,19/11/2016
ord-77658,68.55,51.473,-0.011,29/11/2016
ord-95360,44.05,53.618,-2.128,01/11/2016
ord-66068,29.3,53.691,-2.459,02/11/2016
ord-40932,61.26,53.778,-1.781,17/11/2016
ord-39534,17.96,51.599,-0.086,11/11/2016
ord-81318,39.31,51.511,-0.185,30/11/2016
ord-09285,24.87,51.573,-0.408,18/11/2016
ord-95203,35.3,51.376,-0.398,05/11/2016
ord-70998,31.51,51.804,-0.816,17/11/2016
ord-03364,30.48,51.532,-0.133,02/11/2016
ord-28169,33.36,53.8,-1.523,29/11/2016
ord-55483,15.42,53.529,-1.046,18/11/2016
ord-62761,2.17,51.49,-0.284,03/11/2016
ord-35766,19.32,51.446,-0.41,12/11/2016
ord-49245,31.58,53.691,-2.459,02/11/2016
ord-97230,29.87,51.565,-0.073,17/11/2016
ord-31652,25.89,51.484,-0.381,22/11/2016
ord-21373,41.14,51.628,0.003,29/11/2016
ord-91207,27.23,52.689,1.2148,20/11/2016
ord-91207,18.47,52.689,1.2148,08/11/2016
ord-95917,36.83,53.466,-2.166,10/11/2016
ord-77736,16.12,54.998,-1.428,23/11/2016
ord-20186,9.16,53.482,-2.177,03/11/2016
ord-68526,31.2,53.62,-2.151,22/11/2016
ord-61714,21.78,51.391,-0.095,22/11/2016
ord-05182,34.1,53.47,-2.275,17/11/2016
ord-22863,14.48,50.795,-1.063,08/11/2016
ord-97498,36.28,52.414,-1.489,17/11/2016
ord-42293,36.68,51.547,-0.132,01/11/2016
ord-25201,64.68,51.403,-0.149,17/11/2016
ord-58788,11.12,51.627,-0.071,23/11/2016
ord-28125,43.67,51.434,-0.017,30/11/2016
ord-28125,43.39,51.434,-0.017,21/11/2016
ord-78292,39.07,51.814,-0.824,17/11/2016
ord-67133,66.88,51.467,-0.072,02/11/2016
ord-01968,33.07,51.583,0.0227,03/11/2016
ord-32440,26.28,51.573,-0.408,18/11/2016
ord-52755,54.09,52.964,-1.112,26/11/2016
ord-46263,16.79,53.631,-1.812,24/11/2016
ord-46280,73.35,51.403,-0.149,28/11/2016
ord-16949,41.82,51.548,-0.117,03/11/2016
ord-99076,46.02,51.543,-0.051,07/11/2016
ord-51301,61.3,53.372,-2.143,05/11/2016
ord-56630,23.21,51.512,-0.609,29/11/2016
ord-62058,49.37,51.644,-0.198,25/11/2016
ord-53444,18.49,52.519,-2.128,05/11/2016
ord-50547,22.92,51.56,0.014,18/11/2016
ord-39968,19.04,52.451,-1.93,27/11/2016
ord-03987,52.41,51.555,-0.042,03/11/2016
ord-82152,19.22,52.406,-1.88,17/11/2016
ord-90964,41.61,52.457,-1.908,18/11/2016
ord-30041,25.68,52.615,-2.113,23/11/2016
ord-61269,18.7,51.614,0.0921,17/11/2016
ord-84845,59.89,51.556,0.1393,02/11/2016
ord-42910,71.36,51.571,0.1769,03/11/2016
ord-65008,22.96,53.221,-1.43,02/11/2016
ord-60511,16.92,52.766,-1.213,28/11/2016
ord-78683,29.41,53.8,-1.523,29/11/2016
ord-52403,10.88,51.471,-0.355,11/11/2016
ord-64172,39.03,53.387,-2.105,17/11/2016
ord-30158,32.57,51.814,-0.824,17/11/2016
ord-75073,43.31,51.519,0.0537,22/11/2016
ord-92089,27.35,51.539,-0.026,19/11/2016
ord-62991,23.33,51.463,-0.103,24/11/2016
ord-07796,41.03,51.469,-0.355,22/11/2016
ord-85913,17.63,53.387,-2.599,22/11/2016
ord-46756,25.32,52.818,-1.637,24/11/2016
ord-04751,43.77,51.814,-0.824,17/11/2016
ord-23496,48.2,51.556,-0.037,03/11/2016
ord-23496,45.62,51.556,-0.037,03/11/2016
ord-63072,38.62,51.516,0.0206,29/11/2016
ord-02717,19.12,53.822,-3.025,17/11/2016
ord-74978,18.07,51.449,-0.378,02/11/2016
ord-25780,18.01,53.83,-1.722,02/11/2016
ord-05581,23.43,51.56,0.014,18/11/2016
ord-87520,30.74,51.407,-0.085,08/11/2016
ord-17187,66.18,51.588,-0.714,01/11/2016
ord-24705,28.55,55.932,-3.21,12/11/2016
ord-30850,30.57,51.605,-0.058,18/11/2016
ord-96432,16.2,52.466,-2.039,18/11/2016
ord-54968,27.87,52.627,-1.115,17/11/2016
ord-00128,28.22,51.364,-0.212,22/11/2016
ord-68373,25.58,51.403,-0.149,17/11/2016
ord-57435,39.95,51.404,-0.108,22/11/2016
ord-61657,44.19,53.611,-1.158,03/11/2016
ord-61657,43.99,53.611,-1.158,03/11/2016
ord-89002,20.5,54.983,-1.555,18/11/2016
ord-84743,37.78,51.53,-0.208,19/11/2016
ord-48841,32.51,52.207,0.1242,17/11/2016
ord-46770,23.25,51.804,-0.816,17/11/2016
ord-43374,26.9,51.653,-0.048,24/11/2016
ord-38941,36.75,52.599,-1.614,25/11/2016
ord-09865,56.21,51.461,-0.04,25/11/2016
ord-77436,26.26,51.486,0.168,05/11/2016
ord-57144,19.91,51.492,-0.1,09/11/2016
ord-57144,122.62,51.492,-0.1,22/11/2016
ord-48805,15.26,53.767,-2.479,25/11/2016
ord-34533,23.56,52.79,1.2313,19/11/2016
ord-23794,34.69,55.942,-4.812,26/11/2016
ord-09291,78.56,51.426,-0.132,17/11/2016
ord-67821,23.33,51.555,-1.779,11/11/2016
ord-66870,40.63,52.689,1.2148,13/11/2016
ord-46529,34.13,51.502,-0.272,04/11/2016
ord-78054,22.69,50.835,-0.191,17/11/2016
ord-33368,26.5,51.46,-0.013,09/11/2016
ord-04530,49.22,51.56,0.014,18/11/2016
ord-60623,57.88,51.491,0.1153,02/11/2016
ord-37136,43.87,51.378,-0.189,27/11/2016
ord-88522,26.2,51.52,-0.061,09/11/2016
ord-46007,15.12,52.304,-1.936,25/11/2016
ord-50488,17.09,51.617,-0.176,22/11/2016
ord-21283,19.85,51.524,-0.072,26/11/2016
ord-18464,51.56,51.502,0.1169,15/11/2016
ord-96096,20.44,51.745,-1.26,17/11/2016
ord-81791,72.6,51.555,-0.042,03/11/2016
ord-32361,45.95,53.806,-1.78,17/11/2016
ord-98214,44.18,51.519,-0.107,04/11/2016
ord-24945,31.83,51.601,0.0546,05/11/2016
ord-81102,30.43,51.502,-0.37,12/11/2016
ord-27991,45.48,51.52,-0.366,05/11/2016
ord-97556,56.33,51.524,0.022,24/11/2016
ord-53433,25.8,51.502,-0.249,03/11/2016
ord-80739,70.38,51.555,0.1083,03/11/2016
ord-17558,34.04,52.958,-1.142,29/11/2016
ord-53668,30.27,53.764,-0.351,17/11/2016
ord-36149,22.48,51.555,0.0128,18/11/2016
ord-21983,46.8,53.394,-2.255,17/11/2016
ord-61325,19.72,52.595,-2.14,12/11/2016
ord-61325,28,52.595,-2.14,24/11/2016
ord-76039,5.27,51.37,-0.117,29/11/2016
ord-94769,27.86,51.452,-0.138,04/11/2016
ord-02018,49.08,51.508,0.1289,01/11/2016
ord-95559,43.57,51.51,-0.411,03/11/2016
ord-95559,42.75,51.51,-0.411,03/11/2016
ord-33562,20.78,53.012,-2.218,12/11/2016
ord-33562,30.53,53.012,-2.218,18/11/2016
ord-12810,24.37,51.814,-0.824,17/11/2016
ord-91309,22.19,51.376,-0.398,05/11/2016
ord-39601,16.29,53.378,-1.489,18/11/2016
ord-28079,35,53.82,-1.511,24/11/2016
ord-54232,3.91,51.471,-0.355,16/11/2016
ord-51209,49.31,53.741,-0.378,16/11/2016
ord-62315,28.66,52.958,-1.142,17/11/2016
ord-02164,13.8,53.711,-1.243,30/11/2016
ord-45931,25.28,51.814,-0.824,17/11/2016
ord-61544,29.9,52.445,-1.501,14/11/2016
ord-28688,23.17,51.573,-0.408,18/11/2016
ord-14292,27.99,52.452,-1.887,02/11/2016
ord-93473,20.36,51.589,-0.022,19/11/2016
ord-65183,26.86,51.473,0.3221,19/11/2016
ord-70639,50.63,52.475,-1.792,23/11/2016
ord-53019,50.75,51.56,0.0672,24/11/2016
ord-38525,31.94,51.512,-0.042,05/11/2016
ord-87905,24.2,51.39,-0.075,05/11/2016
ord-92803,41.79,52.968,-1.224,17/11/2016
ord-97546,21.85,51.764,-0.248,18/11/2016
ord-13035,39.2,51.47,-0.354,03/11/2016
ord-14062,23.23,53.8,-1.715,08/11/2016
ord-43220,24.87,51.804,-0.816,17/11/2016
ord-11118,3.72,51.484,-0.38,04/11/2016
ord-48355,26.69,51.452,-0.058,30/11/2016
ord-34468,69.22,51.474,-0.027,26/11/2016
ord-28435,27.62,51.546,0.0195,13/11/2016
ord-28435,36.81,51.546,0.0195,19/11/2016
ord-83253,48.35,51.484,-0.087,05/11/2016
ord-71724,34.23,51.404,-0.108,03/11/2016
ord-22187,34.29,51.814,-0.824,17/11/2016
ord-73317,24.79,53.848,-1.505,29/11/2016
ord-53598,27.16,51.525,0.0413,03/11/2016
ord-70133,19.92,51.143,1.2892,05/11/2016
ord-95738,15.46,51.384,-0.109,04/11/2016
ord-61587,34.16,51.536,0.0213,03/11/2016
ord-10115,18.99,51.5,-0.066,02/11/2016
ord-66785,27.23,51.548,0.0533,18/11/2016
ord-79605,43.84,52.269,-1.551,03/11/2016
ord-22496,30.3,51.489,-0.04,17/11/2016
ord-02402,18.13,51.814,-0.824,17/11/2016
ord-48011,100.88,51.527,0.1205,04/11/2016
ord-50813,20.09,51.57,0.1435,16/11/2016
ord-84002,21.8,51.804,-0.816,17/11/2016
ord-32735,37.31,51.573,-0.408,18/11/2016
ord-49241,38.77,51.484,-0.076,05/11/2016
ord-13136,14.17,53.369,0.0093,08/11/2016
ord-39656,26.54,51.55,-0.298,06/11/2016
ord-98115,36.19,51.503,0.0995,18/11/2016
ord-59726,34.98,51.376,-0.398,05/11/2016
ord-84782,33.24,51.475,-0.384,22/11/2016
ord-26946,13.98,55.942,-4.812,23/11/2016
ord-84487,20.63,51.622,-3.95,03/11/2016
ord-84487,19.46,51.622,-3.95,03/11/2016
ord-20363,10.13,52.465,-1.861,12/11/2016
ord-20385,51.31,52.768,-1.235,04/11/2016
ord-33557,40.18,51.533,-0.345,11/11/2016
ord-06900,42.31,52.953,-2.078,19/11/2016
ord-67296,34.52,53.85,-3.037,14/11/2016
ord-56730,25.34,53.033,-2.166,05/11/2016
ord-92788,28.03,51.428,-0.975,08/11/2016
ord-12726,68.43,53.409,-2.798,26/11/2016
ord-90914,30.68,51.512,-0.609,04/11/2016
ord-15399,31.4,51.556,-0.072,24/11/2016
ord-02941,16.34,53.367,-1.478,25/11/2016
ord-07801,22.22,51.804,-0.816,17/11/2016
ord-27005,27.81,52.424,-1.472,02/11/2016
ord-85169,28.63,51.61,-0.35,05/11/2016
ord-88245,19.82,54.614,-1.273,17/11/2016
ord-34218,15.95,51.561,-0.21,01/11/2016
ord-47571,22.32,51.9,-0.367,19/11/2016
ord-00678,19.06,50.797,-1.041,18/11/2016
ord-55002,33.65,52.577,-2.122,04/11/2016
ord-36644,29.39,52.234,-0.894,22/11/2016
ord-24192,15.91,51.622,-3.95,03/11/2016
ord-24192,17.62,51.622,-3.95,03/11/2016
ord-78387,23.36,52.452,-1.887,29/11/2016
ord-47939,140.53,53.741,-2.445,15/11/2016
ord-78756,23.72,52.414,-1.512,08/11/2016
ord-26592,33.87,51.548,0.0629,19/11/2016
ord-99759,7.47,51.509,-0.474,11/11/2016
ord-05783,28.07,53.796,-1.469,25/11/2016
ord-26985,28.58,52.631,-1.112,17/11/2016
ord-33022,21.14,51.417,-3.258,24/11/2016
ord-42049,54.4,51.516,0.0226,02/11/2016
ord-47605,22.51,51.524,-0.312,17/11/2016
ord-18554,26.33,51.589,-0.022,18/11/2016
ord-44038,38.52,51.513,-0.069,18/11/2016
ord-71845,64.07,55.93,-3.257,21/11/2016
ord-73884,25.72,52.508,-1.907,03/11/2016
ord-73884,26.23,52.508,-1.907,03/11/2016
ord-13369,20.09,51.279,1.0893,28/11/2016
ord-12014,22.02,52.634,-1.143,23/11/2016
ord-47671,39.79,51.573,-0.408,18/11/2016
ord-43934,19.37,51.622,-3.95,03/11/2016
ord-43934,21.06,51.622,-3.95,03/11/2016
ord-59668,29.86,51.295,1.0569,26/11/2016
ord-21320,18.37,51.488,0.0665,22/11/2016
ord-20751,22.57,51.524,-0.312,18/11/2016
ord-24590,31.15,52.51,-1.878,19/11/2016
ord-67610,34.8,51.573,-0.408,18/11/2016
ord-93160,32.84,51.798,-0.816,17/11/2016
ord-14551,25.68,52.577,-1.982,29/11/2016
ord-14551,26.67,52.577,-1.982,30/11/2016
ord-47608,22.64,52.482,-1.935,22/11/2016
ord-78678,50.76,51.553,-0.286,06/11/2016
ord-12144,22.01,51.39,-0.075,05/11/2016
ord-24798,19.14,53.408,-3.024,01/11/2016
ord-80803,51.53,53.466,-2.166,17/11/2016
ord-71559,25.39,51.571,-0.375,18/11/2016
ord-20149,17.87,51.798,-0.816,17/11/2016
ord-30878,39.64,52.601,-2.039,06/11/2016
ord-08540,43.39,51.507,-0.586,11/11/2016
ord-14222,21.29,52.632,-1.133,09/11/2016
ord-26103,48,51.549,0.0577,26/11/2016
ord-23658,43.5,51.614,0.0921,10/11/2016
ord-95201,67.85,51.481,-0.021,09/11/2016
ord-00136,28.87,52.452,-1.887,29/11/2016
ord-37229,24.96,51.48,-0.21,26/11/2016
ord-54373,36.69,51.54,-0.147,18/11/2016
ord-71467,39.54,51.524,-0.008,03/11/2016
ord-79880,38.69,55.811,-4.269,30/11/2016
ord-37703,38.76,51.429,-0.424,01/11/2016
ord-91677,24.05,51.814,-0.824,17/11/2016
ord-59220,35.18,51.491,0.3407,19/11/2016
ord-41174,47.94,51.568,-0.07,03/11/2016
ord-67207,31.39,51.297,1.0561,22/11/2016
ord-19362,53,56.806,-5.116,12/11/2016
ord-32743,28.64,51.804,-0.816,17/11/2016
ord-59287,14.13,51.527,-0.11,26/11/2016
ord-55699,31.45,51.485,0.174,29/11/2016
ord-92614,30,51.549,0.0577,25/11/2016
ord-35282,36.97,51.391,-0.403,05/11/2016
ord-72603,20.36,51.531,0.0827,04/11/2016
ord-24848,16.13,55.764,-4.169,02/11/2016
ord-35043,26.34,52.599,-1.139,02/11/2016
ord-66427,27.1,53.691,-2.46,02/11/2016
ord-93316,30.43,52.495,-1.997,17/11/2016
ord-65115,17.17,52.452,-1.887,29/11/2016
ord-25938,28.58,52.465,-1.861,05/11/2016
ord-20488,36.87,53.489,-2.877,15/11/2016
ord-09490,19.59,51.667,-0.042,04/11/2016
ord-26787,24.75,51.429,-0.059,12/11/2016
